trevoga;Тревога!;;;
tr_sdu;Тревога! Сработал датчик удара;;;
tr_sdn;Тревога! Сработал датчик наклона;;;
tr_sdp;Тревога! Сработал датчик перемещения;;;
tr_sdpr;Тревога! Сработал датчик приближения;;;
tr_sdd;Тревога! Сработал дополнительный датчик;;;
tr_ok;Тревога! Открыт капот;;;
tr_od;Тревога! Открыты двери;;;
tr_ob;Тревога! Открыт багажник;;;
tr_vz;Тревога! Включено зажигание;;;
tr_zd;Тревога! Запущен двигатель;;;
tr_im;Тревога! Изменилось местоположение;;;
tr_oa;Тревога! Отключен аккумулятор;;;
vn_rov;Внимание! Режим охраны выключен;;;
vn_ok;Внимание! Открыт капот;;;
vn_od;Внимание! Открыты двери;;;
vn_ob;Внимание! Открыт багажник;;;
vn_gsmv;Внимание! GSM-канал восстановлен;;;
vn_ppk;Внимание! Попытка подбора кода;;;
vn_kb;Внимание! Критический баланс;;;
vn_ar;Внимание! Аккумулятор разряжен;;;
vn_ap;Внимание! Аккумулятор подключён;;;
vn_zd;Внимание! Запущен двигатель;;;
dpnz;Для подтверждения нажмите звёздочку;;;
vpk;Введите персональный код;;;
svn;Система в норме;;;
ro_vkl;Режим охраны включён;;;
ro_vykl;Режим охраны выключен;;;
srv;Сервисный режим включён;;;
vz;Включено зажигание;;;
ima;Изменилось местоположение автомобиля;;;
ot_k;Открыт капот;;;
ot_d;Открыты двери;;;
ot_b;Открыт багажник;;;
ar;Аккумулятор разряжен;;;
ao;Аккумулятор отключён;;;
sdu;Срабатывал датчик удара;;;
sdn;Срабатывал датчик наклона;;;
sdp;Срабатывал датчик перемещения;;;
sdpr;Срабатывал датчик приближения;;;
sdd;Срабатывал дополнительный датчик;;;
osk;Открывался капот;;;
osd;Открывались двери;;;
osb;Открывался багажник;;;
vsz;Включалось зажигание;;;
osa;Отключался аккумулятор;;;
p_gsm;Пропадал GSM-канал;;;
ppk;Была попытка подбора кода;;;
kb;Критический баланс;;;
z_ahj;Запущен AntiHiJack;;;
dz;Двигатель запущен;;;
