trevoga;Тривога!;;;
tr_sdu;Тривога! Спрацював датчик удару;;;
tr_sdn;Тривога! Спрацював датчик нахилу;;;
tr_sdp;Тривога! Спрацював датчик переміщення;;;
tr_sdpr;Тривога! Спрацював датчик наближення;;;
tr_sdd;Тривога! Спрацював додатковий датчик;;;
tr_ok;Тривога! Відкритий капот;;;
tr_od;Тривога! Відчинені двері;;;
tr_ob;Тривога! Відкритий багажник;;;
tr_vz;Тривога! Включено запалення;;;
tr_zd;Тривога! Запущений двигун;;;
tr_im;Тривога! Змінилося місце розташування;;;
tr_oa;Тривога! Вимкнено акумулятор;;;
vn_rov; Увага! Режим охорони вимкнено;;;
vn_ok;Увага! Відкритий капот;;;
vn_od; Увага! Відчинені двері;;;
vn_ob;Увага! Відкритий багажник;;;
vn_gsmv;Увага! GSM-канал відновлено;;;
vn_ppk;Увага! Спроба підбору коду;;;
vn_kb;Увага! Критичний баланс;;;
vn_ar;Увага! Акумулятор розряджений;;;
vn_ap;Увага! Акумулятор підключений;;;
vn_zd; Увага! Запущений двигун;;;
dpnz;Для підтвердження натисніть зірочку;;;
vpk; Введіть персональний код;;;
svn; Система в нормі;;;
ro_vkl;Режим охорони включений;;;
ro_vykl;Режим охорони вимкнений;;;
srv;Сервісний режим включено;;;
vz;Включено запалювання;;;
ima;Змінилося місце розташування автомобіля;;;
ot_k;Відкритий капот;;;
ot_d;Відчинені двері;;;
ot_b;Відкритий багажник;;;
ar;Акумулятор розряджений;;;
ao; Акумулятор вимкнено;;;
sdu; Спрацьовував датчик удару;;;
sdn;Спрацьовував датчик нахилу;;;
sdp;Спрацьовував датчик переміщення;;;
sdpr;Спрацьовував датчик наближення;;;
sdd;Спрацьовував додатковий датчик;;;
osk; Відкривався капот;;;
osd;Відчинялися двері;;;
osb; Відкривався багажник;;;
vsz; Включалося запалення;;;
osa;Вимикався акумулятор;;;
p_gsm;Пропадав GSM-канал;;;
ppk;Була спроба підбору коду;;;
kb; Критичний баланс;;;
z_ahj;Запущений AntiHiJack;;;
dz; Двигун запущений;;;
